FINITE DIFFERENCE METHOD FOR THE WAVE EQUATION

  
I    X(I)                    W(X(I),T(J)    U(X,T=0.5)     Error 
10  2.82743339               0.40159624     0.27118793     0.13040831
 
11  3.14159265               0.00000000     0.00000000     0.00000000
 
 1  0.00000000               0.00000000     0.00000000     0.00000000
 
 2  0.31415927               0.40159624     0.27118793     0.13040831
 
 3  0.62831853               0.76388144     0.51583009     0.24805135
 
 4  0.94247780               1.05139260     0.70997921     0.34141339
 
 5  1.25663706               1.23598613     0.83463061     0.40135552
 
 6  1.57079633               1.29959273     0.87758256     0.42201016
 
 7  1.88495559               1.23598613     0.83463061     0.40135552
 
 8  2.19911486               1.05139260     0.70997921     0.34141339
 
 9  2.51327412               0.76388144     0.51583009     0.24805135
 
10  2.82743339               0.40159624     0.27118793     0.13040831
 
11  3.14159265               0.00000000     0.00000000     0.00000000
